model,features,fold,MAE,RMSE,R2,MAPE,PPA
Mean Baseline,tabular,1,7.539999485015869,8.54458860957249,-0.003435969352722168,5.353302955627441,100.0
Linear Regression,tabular,1,8.772038459777832,9.731312375612953,-0.3015178442001343,6.1735920906066895,100.0
Ridge Regression,tabular,1,8.675390243530273,9.644337438564987,-0.2783569097518921,6.1075968742370605,100.0
Random Forest,tabular,1,7.3554999999999975,8.516747178353949,0.003092598955470538,5.148612298660242,90.0
Gradient Boosting,tabular,1,6.738994418250641,8.190222468287581,0.07806838812475614,4.667751754117937,90.0
RF (tabular + audio),tabular+audio,1,7.6305000000000005,8.551554975558542,-0.005072739142386817,5.350292772676335,100.0
Deep Learning,tabular+audio,1,7.409445190429688,8.557759889605405,-0.006531807698448855,5.255021104135174,100.0
Mean Baseline,tabular,2,3.653332471847534,5.513718056561378,-0.30532801151275635,2.4523160457611084,100.0
Linear Regression,tabular,2,5.001640319824219,7.111259462213147,-1.171318769454956,3.3879361152648926,90.0
Ridge Regression,tabular,2,4.799981594085693,6.963236042887305,-1.0818660259246826,3.2473437786102295,90.0
Random Forest,tabular,2,4.670500000000001,7.141800368254491,-1.1900091240875907,3.1432494348716866,90.0
Gradient Boosting,tabular,2,5.5302800036885085,9.006636596530884,-2.4830185823086928,3.710594911323674,90.0
RF (tabular + audio),tabular+audio,2,4.966999999999999,7.246340455705903,-1.25459209961357,3.353486462962031,90.0
Deep Learning,tabular+audio,2,5.768643188476562,7.738358141742991,-1.57115443236926,3.9534297705249832,90.0
Mean Baseline,tabular,3,5.1792144775390625,6.439696890764493,-0.6227272748947144,3.8406059741973877,100.0
Linear Regression,tabular,3,6.641214847564697,8.054648664734216,-1.538679599761963,4.914005756378174,88.88888888888889
Ridge Regression,tabular,3,6.470874309539795,7.912499411825487,-1.449864387512207,4.790258884429932,88.88888888888889
Random Forest,tabular,3,4.63611111111111,5.656567225604039,-0.2520468478260871,3.4229439117573883,100.0
Gradient Boosting,tabular,3,4.732233996980891,5.919223363359193,-0.3710210740349389,3.4940200768979905,100.0
RF (tabular + audio),tabular+audio,3,4.766666666666661,5.712340442702385,-0.27685869565217214,3.5156512853353195,100.0
Deep Learning,tabular+audio,3,5.19142320421007,6.791219144024218,-0.8047213789541277,3.8635213893232447,88.88888888888889
Mean Baseline,tabular,4,3.0107524394989014,3.7076351208542744,-0.1292811632156372,2.1111981868743896,100.0
Linear Regression,tabular,4,4.929891109466553,5.656892012942597,-1.6288385391235352,3.454007148742676,100.0
Ridge Regression,tabular,4,4.908708572387695,5.583173075791067,-1.5607683658599854,3.4387454986572266,100.0
Random Forest,tabular,4,3.8144444444444425,4.652073014617603,-0.7778746957403633,2.6655681647307152,100.0
Gradient Boosting,tabular,4,3.6587306358854557,5.547589477956995,-1.5282309029321217,2.5622830045422456,88.88888888888889
RF (tabular + audio),tabular+audio,4,4.632222222222222,5.482685372049803,-1.4694188133874233,3.235293925070178,100.0
Deep Learning,tabular+audio,4,5.5220947265625,6.437428689820857,-2.404340303305094,3.8437906021886965,100.0
Mean Baseline,tabular,5,7.23655891418457,8.41308950821529,-0.04773139953613281,5.229743957519531,100.0
Linear Regression,tabular,5,8.038681030273438,10.648009394480331,-0.6783239841461182,5.8069586753845215,66.66666666666666
Ridge Regression,tabular,5,7.954659461975098,10.48375426045244,-0.6269439458847046,5.742639541625977,66.66666666666666
Random Forest,tabular,5,7.884444444444442,9.304089005497646,-0.28140567434210473,5.669079293716052,88.88888888888889
Gradient Boosting,tabular,5,8.623203645706973,9.813030337084184,-0.42542776244870173,6.143454454523524,88.88888888888889
RF (tabular + audio),tabular+audio,5,7.849444444444446,9.269094855725907,-0.27178466282894775,5.646516518919768,88.88888888888889
Deep Learning,tabular+audio,5,7.007515801323785,8.193965414371695,0.006135488639349762,5.074283986550058,88.88888888888889
